task,n_rows,n_x,n_y,sym_ratio,missing_density,eff_rank_x,cca_1,linear_r2,y_corr_mean,fdc,smoothness,d2h_var,d2h_skew,d2h_tail_gap,nb_auc_med,nb_auc_iqr,landmark_10_med,landmark_10_iqr,labels_used_total
SS-B,206,3,2,0.0,0.0,2.912779854566132,0.9625273242056969,0.912190082336598,0.8113946372578297,0.8070456128790922,0.4902510929811003,0.08083508340529612,-0.13668128656200307,0.8123382728288875,0.9390826564739608,0.0812231247013856,100.0,0.0,46
SS-C,1512,3,2,0.0,0.0,2.9999999999999996,0.9830751795061106,0.5865965595282072,-0.6409200767093215,0.27180617522470085,0.23987068618835863,0.04560235858449691,1.2525107231408903,0.4573710213490414,0.6701692658805629,0.07120102700646636,100.0,0.0,46
SS-D,196,3,2,0.0,0.0,2.9999999999999996,0.6786357809741353,0.17803666501431176,0.5870067930696248,0.1710635991999299,0.14596642262940165,0.023036088311357745,0.25833053359359975,0.5169332366176905,0.5929276315789473,0.09923245614035081,66.0,29.0,46
SS-E,756,3,2,0.0,0.0,2.9999999999999996,0.6051850078088868,0.02894342556073857,0.3196823451211582,0.16913990855963423,0.05134585935083652,0.02360883548983648,0.39292766796042894,0.40330016004735914,0.7382559908710535,0.1732360213008749,61.5,51.25,46
SS-F,196,3,2,0.0,0.0,2.9999999999999996,0.709664089759144,0.14007151381870606,0.5988628323349247,0.17393875160372627,0.1074558329950272,0.024162172360367922,0.2676775625213523,0.5651080972905971,0.59375,0.21683114035087725,61.0,39.25,46
SS-G,196,3,2,0.0,0.0,2.9999999999999996,0.7022325914779025,0.1511161870894451,0.5550259142114506,0.22353991186478497,0.13987567523587155,0.0254924083094281,0.25147674445049245,0.5419584745993561,0.6296600877192983,0.15899122807017552,54.0,39.75,46
SS-H,259,4,2,0.0,0.0,3.978772892548883,0.958593984649348,0.6543906989939989,0.3929740331460416,0.427356807282592,0.31366767250252786,0.05322241810898541,-0.2476269689973799,0.8632293071609043,0.6844339622641509,0.30794025157232696,100.0,0.0,46
SS-I,1080,5,2,0.0,0.0,5.000000000000001,0.9558397455354664,0.7388661160531981,-0.42251389871824363,0.6395234540938164,0.2813959163192405,0.049903470585940496,0.13444503646721026,0.7713319588592487,0.9132750095093192,0.0669693799923925,100.0,24.5,46
SS-J,3840,6,2,0.0,0.0,6.0,0.832986587114558,0.2743278506804992,-0.27090552423198594,0.4374880644519714,0.24048339769789973,0.034370112775670945,0.404776344776791,0.8062312815516574,0.7788132369722328,0.12240871053632552,100.0,58.5,46
SS-K,2880,6,2,0.0,0.0,5.999999999999997,0.8769328697765782,0.20084687272121338,-0.048551567194684044,0.3644901299605198,0.1546526146840668,0.03361419862071487,0.2680861553956611,0.6189260934666678,0.6867630277672119,0.09566375047546594,100.0,0.0,46
